604364	AD	DEPDC5
213300	AR	INPP5E
605899	AR	AMT
605899	AR	GLDC
605899	AR	GCSH
252920	AR	NAGLU
612716	?AD	SPR
601419	AD	DES
601200	AD	DICER1
611560	AR	RPGRIP1L
614820	AD	ATP1A3
618396	AD	GABRG2
178500	AD	SFTPA2
178500	AD	MUC5B
130070	AR	B4GALT7
618248	AR	MTFMT
105650	AD	RPS19
615482	AR	DNAAF4
229600	AR	ALDOB
264600	AR	SRD5A2
608644		DNAH5
158810	AD	COL6A3
158810	AD	COL6A1
158810	AD	COL6A2
607208	AD	SCN1A
607208	AD	SCN9A
301500	XL	GLA
301500	XL	GLA
615273	AR	NGLY1
170500	AD	SCN4A
615237	AR	CLMP
175050	AD	SMAD4
261600	AR	PAH
261600	AR	PAH
166350	AD	GNAS
201475	AR	ACADVL
180200	SMu	RB1
180200	SMu	RB1
617602	AD	ABL1
615067	AR	CCDC114
144200	AD	KRT1
144200	AD	KRT9
616346	AD	DNM1
106210	AD	PAX6
106210	AD	PAX6
613807		CCDC39
607155	AR	FKRP
154700	AD	FBN1
616056	AD	KCNB1
612555	AD	BRCA2
607259	AD	PGN
132600	SMu	MUTYH
132600		CTNNB1
612164	AD	STXBP1
616981	AR	FRRS1L
203780	AR	COL4A4
203780	AR	COL4A3
601665	AD	NR0B2
601665	AD	SDC3
601665	AD	POMC
601665	AD	GHRL
601665	AD	PPARG
601665	AD	CARTPT
601665	AD	ADRB2
601665	AD	ENPP1
601665	AD	ADRB3
601665	AD	UCP3
601665	AD	AGRP
610968	AR	FKBP10
203290	AR	TYRP1
610193	AD	DSG2
607200	AR	DUOX2
615829	AD	AHDC1
301040	XLD	ATRX
605074		PRCC
605074		MET
615481	AR	RSPH1
613731	AD	RHO
609310		MLH1
203100	AR	TYR
613424	AD	ACTC1
613424	AD	ACTC1
615916	AD	RAF1
600274	AD	PSEN1
600274	AD	MAPT
231550	AR	AAAS
602347	AR	ABCB4
236200	AR	CBS
236200	AR	CBS
166200	AD	COL1A1
611603	AD	TUBA1A
256731	AR	CLN5
614892	AD	STAT1
600060	AR	MYO7A
143890	AD	APOA2
143890	AD	GHR
143890	AD	GSBS
143890	AD	EPHX2
143890	AD	LDLR
143890	AD	LDLR
615279		MAP2K1
173900	AD	PKD1
253600	AR	CAPN3
211980	SMu	FASLG
211980	SMu	CASP8
211980		PIK3CA
211980		IRF1
211980		PRKN
211980	SMu	EGFR
211980	SMu	EGFR
211980	SMu	EGFR
211980		BRAF
211980		MAP3K8
211980	SMu	ERCC6
211980		SLC22A1L
211980		PPP2R1B
211980		KRAS
211980		ERBB2
211980	SMu	CYP2A6
613688	AD	KCNH2
613688	AD	KCNH2
613688	AD	ALG10B
614104	AD	DYRK1A
601494	AD	TNNT2
601494	AD	TNNT2
608013	AR	GBA
613559	AR	C12orf65
602772	AR	EYS
266140	AR	SPTA1
219050	AD	INSL3
605373	AD	SDHC
608758	AD	MYL2
182601	AD	SPAST
145680	AD	TTR
606054	AR	PCCB
606054	AR	PCCA
204100	AR	RPE65
226600	AR	COL7A1
226600	AR	COL7A1
226600	AR	MMP1
614096	AR	AARS2
277900	AR	ATP7B
266100	AR	ALDH7A1
610374		ABCC8
208400	AR	AGA
616362	AD	PPP2R1A
617350	AR	SCN1B
614390	AD	F2
171300	AD	KIF1B
171300	AD	SDHB
171300	AD	TMEM127
171300	AD	VHL
171300	AD	GDNF
171300	AD	RET
171300	AD	SDHD
171300	AD	MAX
600858	AD	PRKAG2
608380		CERKL
612940	AR	PYCR1
616684	AR	SURF1
108600	AD	VAMP1
255320	AR	RYR1
608340	AR	GDAP1
220100	AD	SLC3A1
220100	AD	SLC7A9
175200	AD	STK11
192600	AD	CAV3
192600	AD	MYH7
192600	AD	MYLK2
133700	AD	EXT1
171400	AD	RET
617180	AD	ERF
608629	AR	AHI1
615009	AD	PACS1
609040	AD	PKP2
617481	AR	PRUNE1
600791	AR	KCNJ10
600791	AR	FOXI1
600791	AR	SLC26A4
245200	AR	GALC
115150	AD	BRAF
140700	AD	HBB
140700	AD	HBA2
140700	AD	HBA1
